title,link,date,source
[중요]국내대학/국외대학 학점인정 관련 공지사항,?mode=view&articleNo=92329&article.offset=0&articleLimit=10,2018.01.12,<i>통계학과</i>
학과행정실 계산기 대여 불가 안내 (2017.07 시행),?mode=view&articleNo=87254&article.offset=0&articleLimit=10,2017.10.23,<i>통계학과</i>
[학부] 2022학년도 여름계절수업 수업료 납부 안내,?mode=view&articleNo=295930&article.offset=0&articleLimit=10,2022.05.23,<i>통계학과</i>
[학부] 2022학년도 여름계절수업 개설 안내,?mode=view&articleNo=294605&article.offset=0&articleLimit=10,2022.05.06,<i>통계학과</i>
2022학년도 후기 대학원 학석사연계과정 전형 시행 안내,?mode=view&articleNo=294606&article.offset=0&articleLimit=10,2022.05.06,<i>통계학과</i>
"CAMPUS Asia 교환학생 모집 공고(북경대학교, ~5월9일)",?mode=view&articleNo=294527&article.offset=0&articleLimit=10,2022.05.04,<i>통계학과</i>
"CAMPUS Asia 교환학생 모집 공고(와세다대학교, ~5월15일)",?mode=view&articleNo=294526&article.offset=0&articleLimit=10,2022.05.04,<i>통계학과</i>
[통계학과 진로상담회] 2022년도 제9회 진로상담회 참가 신청 안내(신청: ~5/18(수)까지),?mode=view&articleNo=294496&article.offset=0&articleLimit=10,2022.05.04,<i>통계학과</i>
"CAMPUS Asia 교환학생 모집 공고 ( 난양공과대학 , ~ 5월10일 )",?mode=view&articleNo=294423&article.offset=0&articleLimit=10,2022.05.03,<i>통계학과</i>
[안내] 정경대학 CAMPUS Asia 프로그램 설명회,?mode=view&articleNo=294222&article.offset=0&articleLimit=10,2022.04.29,<i>통계학과</i>
2022학년도 국제하계대학(2022 KU International Summer Campus) 본교생 수강 신청,?mode=view&articleNo=293798&article.offset=0&articleLimit=10,2022.04.25,<i>통계학과</i>
2022년도 수림재단 신규장학생 선발안내,?mode=view&articleNo=293123&article.offset=0&articleLimit=10,2022.04.14,<i>통계학과</i>
